"affected","implementer","year","flow","value"
"United Kingdom","Brazil","2010","inward",0.0167345102000263
"United States of America","Brazil","2010","inward",0.0362449562527975
"World","Brazil","2010","inward",0.0320804939447109
"Argentina","Canada","2010","inward",0.0857079898290791
"Australia","Canada","2010","inward",0.194602593491761
"Brazil","Canada","2010","inward",0.0394765028487691
"China","Canada","2010","inward",0.0194961020418888
"France","Canada","2010","inward",0.0859420464151381
"Germany","Canada","2010","inward",0.207499939069574
"India","Canada","2010","inward",0.00754151032793244
"Indonesia","Canada","2010","inward",0.00443891215178792
"Italy","Canada","2010","inward",0.0815620772249422
"Japan","Canada","2010","inward",0.326775253842166
"Mexico","Canada","2010","inward",0.168737530678262
"Republic of Korea","Canada","2010","inward",0.295568934582358
"Russia","Canada","2010","inward",0.000102278631417931
"Saudi Arabia","Canada","2010","inward",0
"South Africa","Canada","2010","inward",0.0471142314484244
"Turkey","Canada","2010","inward",0
"United Kingdom","Canada","2010","inward",0.0483167187337317
"United States of America","Canada","2010","inward",0.13183121800787
"World","Canada","2010","inward",0.114538986717414
"Argentina","China","2010","inward",0.0554936476320433
"Australia","China","2010","inward",0.691133543114126
"Brazil","China","2010","inward",0.527051552434229
"Canada","China","2010","inward",0.50463454550587
"France","China","2010","inward",0.470969447884621
"Germany","China","2010","inward",0.684919083292667
"India","China","2010","inward",0.746118472652052
"Indonesia","China","2010","inward",0.416561294838584
"Italy","China","2010","inward",0.530363763878118
"Japan","China","2010","inward",0.657589604404483
"Mexico","China","2010","inward",0.647720365238907
"Republic of Korea","China","2010","inward",0.734140065690547
"Russia","China","2010","inward",0.305024393566747
"Saudi Arabia","China","2010","inward",0.218256110371621
"South Africa","China","2010","inward",0.452515372113359
"Turkey","China","2010","inward",0.490447621236479
"United Kingdom","China","2010","inward",0.537584081763403
"United States of America","China","2010","inward",0.481215721402127
"World","China","2010","inward",0.561492297056157
"Argentina","France","2010","inward",0.239014857275296
"Australia","France","2010","inward",0.0672691780722217
"Brazil","France","2010","inward",0.0565169128154952
"Canada","France","2010","inward",0.108089628741402
"China","France","2010","inward",0.0461697991529609
"Germany","France","2010","inward",0.178973248244673
"India","France","2010","inward",0.0755422677005947
"Indonesia","France","2010","inward",0.0263636643518693
"Italy","France","2010","inward",0.0982175865650293
"Japan","France","2010","inward",0.200324535632198
"Mexico","France","2010","inward",0.0867657152668369
"Republic of Korea","France","2010","inward",0.210723748608061
"Russia","France","2010","inward",0.000962913107568121
"Saudi Arabia","France","2010","inward",0
"South Africa","France","2010","inward",0.141372568885812
"Turkey","France","2010","inward",0.256980008505717
"United Kingdom","France","2010","inward",0.157495309796942
"United States of America","France","2010","inward",0.144949163457447
"World","France","2010","inward",0.134633302474805
"Argentina","Germany","2010","inward",0.159856901659541
"Australia","Germany","2010","inward",0.247456954022727
"Brazil","Germany","2010","inward",0.126828402230526
"Canada","Germany","2010","inward",0.129828002478483
"China","Germany","2010","inward",0.0567196721335251
"France","Germany","2010","inward",0.089862357127808
"India","Germany","2010","inward",0.0801735241722373
"Indonesia","Germany","2010","inward",0.0404036155928041
"Italy","Germany","2010","inward",0.0772618850394
"Japan","Germany","2010","inward",0.049055725613571
"Mexico","Germany","2010","inward",0.0827382590419921
"Republic of Korea","Germany","2010","inward",0.153076018468549
"Russia","Germany","2010","inward",0.155454818737947
"Saudi Arabia","Germany","2010","inward",0.00596780456445297
"South Africa","Germany","2010","inward",0.14964374483225
"Turkey","Germany","2010","inward",0.0592997593798265
"United Kingdom","Germany","2010","inward",0.0619205023781259
"United States of America","Germany","2010","inward",0.051283453469676
"World","Germany","2010","inward",0.0846579084654058
"Argentina","India","2010","inward",0
"Australia","India","2010","inward",0.0121983737948563
"Brazil","India","2010","inward",0.00160681834129989
"Canada","India","2010","inward",0.247227180234132
"China","India","2010","inward",0.207033655716724
"France","India","2010","inward",0.108136348736124
"Germany","India","2010","inward",0.115254675656607
"Indonesia","India","2010","inward",0.272661532496189
"Italy","India","2010","inward",0.154937045258511
"Japan","India","2010","inward",0.0856335445396158
"Mexico","India","2010","inward",0
"Republic of Korea","India","2010","inward",0.0531780299738596
"Russia","India","2010","inward",0.114352643564493
"Saudi Arabia","India","2010","inward",0.00208399179067963
"South Africa","India","2010","inward",0.375125317558584
"Turkey","India","2010","inward",0.00975055926568167
"United Kingdom","India","2010","inward",0.116426633360368
"United States of America","India","2010","inward",0.0282509447225782
"World","India","2010","inward",0.0982079953878298
"Argentina","Indonesia","2010","inward",0.672611601530068
"Australia","Indonesia","2010","inward",0.100580354193654
"Brazil","Indonesia","2010","inward",0.37318035939191
"Canada","Indonesia","2010","inward",0.0451483267595217
"China","Indonesia","2010","inward",0.377916711036374
"France","Indonesia","2010","inward",0.62338677002784
"Germany","Indonesia","2010","inward",0.427138347732201
"India","Indonesia","2010","inward",0.258927889424551
"Italy","Indonesia","2010","inward",0.399835241834997
"Japan","Indonesia","2010","inward",0.366861927936605
"Mexico","Indonesia","2010","inward",0.215935706941913
"Republic of Korea","Indonesia","2010","inward",0.182301189040402
"Russia","Indonesia","2010","inward",0.00782290615424095
"Saudi Arabia","Indonesia","2010","inward",0.0131356704577849
"South Africa","Indonesia","2010","inward",0.0938615601019809
"Turkey","Indonesia","2010","inward",0.0874122450611298
"United Kingdom","Indonesia","2010","inward",0.386154968566984
"United States of America","Indonesia","2010","inward",0.307474667501513
"World","Indonesia","2010","inward",0.221531622599579
"Argentina","Italy","2010","inward",0.0983711476625671
"Australia","Italy","2010","inward",0.0330011942129959
"Brazil","Italy","2010","inward",0.0423373936712153
"Canada","Italy","2010","inward",0.151978104956739
"China","Italy","2010","inward",0.0928158808076569
"France","Italy","2010","inward",0.136085283338038
"Germany","Italy","2010","inward",0.218858966439826
"India","Italy","2010","inward",0.0848978945209075
"Indonesia","Italy","2010","inward",0.0101345458362169
"Japan","Italy","2010","inward",0.273454254942258
"Mexico","Italy","2010","inward",0.174294989626149
"Republic of Korea","Italy","2010","inward",0.348195207836891
"Russia","Italy","2010","inward",0.00877663427389783
"Saudi Arabia","Italy","2010","inward",0.01588521159321
"South Africa","Italy","2010","inward",0.0725447355748463
"Turkey","Italy","2010","inward",0.180131317138034
"United Kingdom","Italy","2010","inward",0.146109983112384
"United States of America","Italy","2010","inward",0.0858507887833386
"World","Italy","2010","inward",0.120301137276565
"Argentina","Japan","2010","inward",0.00091857292131778
"Australia","Japan","2010","inward",0.0139693914188969
"Brazil","Japan","2010","inward",0.00576767000216165
"Canada","Japan","2010","inward",0.112851016080778
"China","Japan","2010","inward",0.0141937764373299
"France","Japan","2010","inward",0.0283687097648835
"Germany","Japan","2010","inward",0.236775018700892
"India","Japan","2010","inward",0.00572817997495068
"Indonesia","Japan","2010","inward",0.0411174544649847
"Italy","Japan","2010","inward",0.0467263876191625
"Mexico","Japan","2010","inward",0.0738305565765285
"Republic of Korea","Japan","2010","inward",0.0144264887183456
"Russia","Japan","2010","inward",0.0362131465271563
"Saudi Arabia","Japan","2010","inward",0
"South Africa","Japan","2010","inward",0.139776383787292
"Turkey","Japan","2010","inward",0.00704749060991455
"United Kingdom","Japan","2010","inward",0.148164244684281
"United States of America","Japan","2010","inward",0.0218466298543731
"World","Japan","2010","inward",0.0397260524799335
"Argentina","Mexico","2010","inward",0.162150185141046
"Australia","Mexico","2010","inward",0.0100565242892085
"Brazil","Mexico","2010","inward",0.278887114509865
"Canada","Mexico","2010","inward",0.141073224775525
"China","Mexico","2010","inward",0.064118057731844
"France","Mexico","2010","inward",0.0412712205571775
"Germany","Mexico","2010","inward",0.0788104307404277
"India","Mexico","2010","inward",0.107659869333756
"Indonesia","Mexico","2010","inward",0.0514558000448507
"Italy","Mexico","2010","inward",0.0154262413510626
"Japan","Mexico","2010","inward",0.0943545168950028
"Republic of Korea","Mexico","2010","inward",0.0334031685177384
"Russia","Mexico","2010","inward",0
"Saudi Arabia","Mexico","2010","inward",0
"South Africa","Mexico","2010","inward",0
"Turkey","Mexico","2010","inward",0.180295312777051
"United Kingdom","Mexico","2010","inward",0.0567633644433385
"United States of America","Mexico","2010","inward",0.142243888309977
"World","Mexico","2010","inward",0.108092503734728
"Argentina","Republic of Korea","2010","inward",0
"Australia","Republic of Korea","2010","inward",0.000352493841470991
"Brazil","Republic of Korea","2010","inward",0.00107032186253269
"Canada","Republic of Korea","2010","inward",0.00446254761314291
"China","Republic of Korea","2010","inward",0.021627890655986
"France","Republic of Korea","2010","inward",0.035620185797942
"Germany","Republic of Korea","2010","inward",0.0747373494979731
"India","Republic of Korea","2010","inward",0.0325518821594637
"Indonesia","Republic of Korea","2010","inward",0.0124016207950183
"Italy","Republic of Korea","2010","inward",0.0609695935917695
"Japan","Republic of Korea","2010","inward",0.0691611256575602
"Mexico","Republic of Korea","2010","inward",0.0317387327226296
"Russia","Republic of Korea","2010","inward",0.250034762970585
"Saudi Arabia","Republic of Korea","2010","inward",0.84839573605434
"South Africa","Republic of Korea","2010","inward",0
"Turkey","Republic of Korea","2010","inward",0
"United Kingdom","Republic of Korea","2010","inward",0.0392333178308201
"United States of America","Republic of Korea","2010","inward",0.0654127763153031
"World","Republic of Korea","2010","inward",0.149557353804784
"Argentina","Russia","2010","inward",0.600934887993314
"Australia","Russia","2010","inward",0.841898616362453
"Brazil","Russia","2010","inward",0.888904053846874
"Canada","Russia","2010","inward",0.728161504275865
"China","Russia","2010","inward",0.425982871123364
"France","Russia","2010","inward",0.533908976020612
"Germany","Russia","2010","inward",0.581596197880267
"India","Russia","2010","inward",0.60885721502061
"Indonesia","Russia","2010","inward",0.584500759847161
"Italy","Russia","2010","inward",0.560552305438946
"Japan","Russia","2010","inward",0.787072870703391
"Mexico","Russia","2010","inward",0.643603460316355
"Republic of Korea","Russia","2010","inward",0.431850206484598
"Saudi Arabia","Russia","2010","inward",0.266750071850149
"South Africa","Russia","2010","inward",0.338741042097599
"Turkey","Russia","2010","inward",0.525830018399594
"United Kingdom","Russia","2010","inward",0.654715948630774
"United States of America","Russia","2010","inward",0.60750105552431
"World","Russia","2010","inward",0.526268682853894
"Argentina","Saudi Arabia","2010","inward",0.0199175676782508
"Australia","Saudi Arabia","2010","inward",0.589046084706997
"Brazil","Saudi Arabia","2010","inward",0.381219064478579
"Canada","Saudi Arabia","2010","inward",0.31354714668752
"China","Saudi Arabia","2010","inward",0.0383261515570867
"France","Saudi Arabia","2010","inward",0.088175423496675
"Germany","Saudi Arabia","2010","inward",0.170738479921348
"India","Saudi Arabia","2010","inward",0.0304770577225439
"Indonesia","Saudi Arabia","2010","inward",0.208188124213908
"Italy","Saudi Arabia","2010","inward",0.0330490886834856
"Japan","Saudi Arabia","2010","inward",0.476806903008373
"Mexico","Saudi Arabia","2010","inward",0.36068063566656
"Republic of Korea","Saudi Arabia","2010","inward",0.328955261518208
"Russia","Saudi Arabia","2010","inward",0.00848080763300698
"South Africa","Saudi Arabia","2010","inward",0.0215678888390988
"Turkey","Saudi Arabia","2010","inward",0.103989800174241
"United Kingdom","Saudi Arabia","2010","inward",0.0541499481370603
"United States of America","Saudi Arabia","2010","inward",0.224405585200139
"World","Saudi Arabia","2010","inward",0.173676623651914
"Argentina","South Africa","2010","inward",0.000642377443160259
"Australia","South Africa","2010","inward",0.00215886351298605
"Brazil","South Africa","2010","inward",0.0122449497261908
"Canada","South Africa","2010","inward",8.27433241880755e-05
"China","South Africa","2010","inward",0.182471834324239
"France","South Africa","2010","inward",0.0145018182543319
"Germany","South Africa","2010","inward",0.0656627313605129
"India","South Africa","2010","inward",0.0415485589932094
"Indonesia","South Africa","2010","inward",0.0537620421625363
"Italy","South Africa","2010","inward",0.0446028090564636
"Japan","South Africa","2010","inward",0.0234427569548582
"Mexico","South Africa","2010","inward",0.176676515559513
"Republic of Korea","South Africa","2010","inward",0.225883262975615
"Russia","South Africa","2010","inward",0
"Saudi Arabia","South Africa","2010","inward",0
"Turkey","South Africa","2010","inward",0.00235017883167865
"United Kingdom","South Africa","2010","inward",0.0580864426263845
"United States of America","South Africa","2010","inward",0.00717962372135014
"World","South Africa","2010","inward",0.0599069377090879
"Argentina","Turkey","2010","inward",0.0512763636616296
"Australia","Turkey","2010","inward",6.16614965359086e-06
"Brazil","Turkey","2010","inward",0.00822493888063667
"Canada","Turkey","2010","inward",0.00638599219140685
"China","Turkey","2010","inward",0.12722542385282
"France","Turkey","2010","inward",0.0222233379536468
"Germany","Turkey","2010","inward",0.0274398028490941
"India","Turkey","2010","inward",0.13442597815641
"Indonesia","Turkey","2010","inward",0.156166836674573
"Italy","Turkey","2010","inward",0.0257414568271357
"Japan","Turkey","2010","inward",0.0150778925993317
"Mexico","Turkey","2010","inward",0.0707946667666298
"Republic of Korea","Turkey","2010","inward",0.0847681259444786
"Russia","Turkey","2010","inward",0.0722297903693579
"Saudi Arabia","Turkey","2010","inward",0.0159345238868408
"South Africa","Turkey","2010","inward",0.00192810056688207
"United Kingdom","Turkey","2010","inward",0.0122189088670459
"United States of America","Turkey","2010","inward",0.0262755655743458
"World","Turkey","2010","inward",0.0616246041095372
"Argentina","United Kingdom","2010","inward",0.275145701877096
"Australia","United Kingdom","2010","inward",0.316379099069728
"Brazil","United Kingdom","2010","inward",0.147603530260844
"Canada","United Kingdom","2010","inward",0.243773648573788
"China","United Kingdom","2010","inward",0.293974327520386
"France","United Kingdom","2010","inward",0.26118850583914
"Germany","United Kingdom","2010","inward",0.446932382205286
"India","United Kingdom","2010","inward",0.143643474739928
"Indonesia","United Kingdom","2010","inward",0.0869607211515408
"Italy","United Kingdom","2010","inward",0.287174996338079
"Japan","United Kingdom","2010","inward",0.65010479494728
"Mexico","United Kingdom","2010","inward",0.248433143752989
"Republic of Korea","United Kingdom","2010","inward",0.718993532233215
"Russia","United Kingdom","2010","inward",0.000521627456790323
"Saudi Arabia","United Kingdom","2010","inward",0.0432099808962059
"South Africa","United Kingdom","2010","inward",0.146225997313229
"Turkey","United Kingdom","2010","inward",0.332081765588908
"United States of America","United Kingdom","2010","inward",0.376934681082796
"World","United Kingdom","2010","inward",0.321270918202684
"Argentina","United States of America","2010","inward",0.0491641786057665
"Australia","United States of America","2010","inward",0.0903433201437487
"Brazil","United States of America","2010","inward",0.193402831681547
"Canada","United States of America","2010","inward",0.226167346663146
"China","United States of America","2010","inward",0.0746860215193627
"France","United States of America","2010","inward",0.136601881713575
"Germany","United States of America","2010","inward",0.285073494873956
"India","United States of America","2010","inward",0.0825051168865294
"Indonesia","United States of America","2010","inward",0.0373469497656047
"Italy","United States of America","2010","inward",0.079842332574208
"Japan","United States of America","2010","inward",0.352308343327344
"Mexico","United States of America","2010","inward",0.166611099574508
"Republic of Korea","United States of America","2010","inward",0.268152978615711
"Russia","United States of America","2010","inward",0.139709103822024
"Saudi Arabia","United States of America","2010","inward",0.00412288067786235
"South Africa","United States of America","2010","inward",0.126612820558016
"Turkey","United States of America","2010","inward",0.108981072553709
"United Kingdom","United States of America","2010","inward",0.154125068506427
"World","United States of America","2010","inward",0.145911178421544
"Argentina","World","2010","inward",0.0965113153022993
"Australia","World","2010","inward",0.170952040395089
"Brazil","World","2010","inward",0.230805887300689
"Canada","World","2010","inward",0.214184778982546
"China","World","2010","inward",0.0735122492273453
"France","World","2010","inward",0.116367600659222
"Germany","World","2010","inward",0.166110363614224
"India","World","2010","inward",0.1307208938627
"Indonesia","World","2010","inward",0.0791618797413801
"Italy","World","2010","inward",0.0923910762710245
"Japan","World","2010","inward",0.280815409989744
"Mexico","World","2010","inward",0.165068178961148
"Republic of Korea","World","2010","inward",0.32514777691362
"Russia","World","2010","inward",0.12549567904625
"Saudi Arabia","World","2010","inward",0.109094318389577
"South Africa","World","2010","inward",0.140306686572847
"Turkey","World","2010","inward",0.147706036037242
"United Kingdom","World","2010","inward",0.0937822978513827
"United States of America","World","2010","inward",0.135109183564531
"World","World","2010","inward",0.137588616228537
"Australia","Argentina","2011","inward",0.0429378838968992
"Brazil","Argentina","2011","inward",0.563339841876221
"Canada","Argentina","2011","inward",0.241579463088896
"China","Argentina","2011","inward",0.591745230579174
"France","Argentina","2011","inward",0.344352628012384
"Germany","Argentina","2011","inward",0.492012395767279
"India","Argentina","2011","inward",0.331192320025614
"Indonesia","Argentina","2011","inward",0.513764802197542
"Italy","Argentina","2011","inward",0.504652500815422
"Japan","Argentina","2011","inward",0.546376526790257
"Mexico","Argentina","2011","inward",0.682827767952013
"Republic of Korea","Argentina","2011","inward",0.508186973615255
"Russia","Argentina","2011","inward",0.131464107579548
"South Africa","Argentina","2011","inward",0.0184408854182942
"Turkey","Argentina","2011","inward",0.398741525246087
"United Kingdom","Argentina","2011","inward",0.3346546607892
"United States of America","Argentina","2011","inward",0.301918874319487
"World","Argentina","2011","inward",0.455048170564302
"Argentina","Australia","2011","inward",0
"Brazil","Australia","2011","inward",0.0270128141625282
"Canada","Australia","2011","inward",0.00145782419080187
"China","Australia","2011","inward",0.0234032189405457
"France","Australia","2011","inward",0.0371565122813672
"Germany","Australia","2011","inward",0.00487455378811184
"India","Australia","2011","inward",0.0105577876588489
"Indonesia","Australia","2011","inward",0.00629626742979682
"Italy","Australia","2011","inward",0.0107989201479547
"Japan","Australia","2011","inward",0.050784400349782
"Mexico","Australia","2011","inward",0.0729994786760573
"Republic of Korea","Australia","2011","inward",0.0948145105831461
"Russia","Australia","2011","inward",0.0450991904957501
"Saudi Arabia","Australia","2011","inward",0
"South Africa","Australia","2011","inward",0.000997189423929292
"Turkey","Australia","2011","inward",0
"United Kingdom","Australia","2011","inward",0.0266161133046912
"United States of America","Australia","2011","inward",0.00657118221916118
"World","Australia","2011","inward",0.0186871994748125
"Argentina","Brazil","2011","inward",0.0996487200935407
"Australia","Brazil","2011","inward",0.0110258513297326
"Canada","Brazil","2011","inward",0.00662213143306137
"China","Brazil","2011","inward",0.132996555898432
"France","Brazil","2011","inward",0.0232423812282708
"Germany","Brazil","2011","inward",0.0642510305936132
"India","Brazil","2011","inward",0.0839384253688701
"Indonesia","Brazil","2011","inward",0.349960965108944
"Italy","Brazil","2011","inward",0.0432589049223829
"Japan","Brazil","2011","inward",0.0637273994979285
"Mexico","Brazil","2011","inward",0.0996239338380797
"Republic of Korea","Brazil","2011","inward",0.0840418625102712
"Russia","Brazil","2011","inward",0.00266226360224379
"Saudi Arabia","Brazil","2011","inward",0
"South Africa","Brazil","2011","inward",0.0566412369247995
"Turkey","Brazil","2011","inward",0.0524800068105568
"United Kingdom","Brazil","2011","inward",0.0552170162004831
"United States of America","Brazil","2011","inward",0.0603505673257538
"World","Brazil","2011","inward",0.0572037430018549
"Argentina","Canada","2011","inward",0.0853616623654121
"Australia","Canada","2011","inward",0.195001252197393
"Brazil","Canada","2011","inward",0.0422541543630612
"China","Canada","2011","inward",0.0214539376425989
"France","Canada","2011","inward",0.0941300496364318
"Germany","Canada","2011","inward",0.20746311983548
"India","Canada","2011","inward",0.0403198788342951
"Indonesia","Canada","2011","inward",0.00443891215178792
"Italy","Canada","2011","inward",0.0818788055071852
"Japan","Canada","2011","inward",0.333229955049334
"Mexico","Canada","2011","inward",0.169230840999839
"Republic of Korea","Canada","2011","inward",0.297482326459346
"Russia","Canada","2011","inward",0.051620672296311
"Saudi Arabia","Canada","2011","inward",0.0304256035252469
"South Africa","Canada","2011","inward",0.0471297943644739
"Turkey","Canada","2011","inward",3.7049084793732e-06
"United Kingdom","Canada","2011","inward",0.0533975712509718
"United States of America","Canada","2011","inward",0.133370117414538
"World","Canada","2011","inward",0.117775891182372
"Argentina","China","2011","inward",0.177618851641587
"Australia","China","2011","inward",0.767166354499964
"Brazil","China","2011","inward",0.619924084572477
"Canada","China","2011","inward",0.560997617399387
"France","China","2011","inward",0.753208720042607
"Germany","China","2011","inward",0.749963882291226
"India","China","2011","inward",0.721991718314609
"Indonesia","China","2011","inward",0.674981582844206
"Italy","China","2011","inward",0.593435886387069
"Japan","China","2011","inward",0.701267011989085
"Mexico","China","2011","inward",0.7739175765688
"Republic of Korea","China","2011","inward",0.794239178933726
"Russia","China","2011","inward",0.669872501180393
"Saudi Arabia","China","2011","inward",0.958896964928249
"South Africa","China","2011","inward",0.475482388480311
"Turkey","China","2011","inward",0.470676078853166
"United Kingdom","China","2011","inward",0.645838338104879
"United States of America","China","2011","inward",0.629606873889515
"World","China","2011","inward",0.733214682548313
"Argentina","France","2011","inward",0.278179686286584
"Australia","France","2011","inward",0.0686975381771582
"Brazil","France","2011","inward",0.0944726701782276
"Canada","France","2011","inward",0.126214367359666
"China","France","2011","inward",0.0619923799858897
"Germany","France","2011","inward",0.199669353314368
"India","France","2011","inward",0.0954307612779
"Indonesia","France","2011","inward",0.0638203474457753
"Italy","France","2011","inward",0.106367434451677
"Japan","France","2011","inward",0.24963932402036
"Mexico","France","2011","inward",0.093237963074053
"Republic of Korea","France","2011","inward",0.238294911912103
"Russia","France","2011","inward",0.00110437399145489
"Saudi Arabia","France","2011","inward",0
"South Africa","France","2011","inward",0.144359489767678
"Turkey","France","2011","inward",0.290174832875702
"United Kingdom","France","2011","inward",0.175500932536963
"United States of America","France","2011","inward",0.150930779096237
"World","France","2011","inward",0.149634701996255
"Argentina","Germany","2011","inward",0.179406517228516
"Australia","Germany","2011","inward",0.068995554897623
"Brazil","Germany","2011","inward",0.178743990487385
"Canada","Germany","2011","inward",0.120123681760249
"China","Germany","2011","inward",0.0795783145947487
"France","Germany","2011","inward",0.142864894749888
"India","Germany","2011","inward",0.102657809698231
"Indonesia","Germany","2011","inward",0.0653435287470819
"Italy","Germany","2011","inward",0.109898355028507
"Japan","Germany","2011","inward",0.132626960346447
"Mexico","Germany","2011","inward",0.31700362292901
"Republic of Korea","Germany","2011","inward",0.229002365004304
"Russia","Germany","2011","inward",0.158268312565545
"Saudi Arabia","Germany","2011","inward",0.00596780456445297
"South Africa","Germany","2011","inward",0.0949671241205413
"Turkey","Germany","2011","inward",0.086383000566688
"United Kingdom","Germany","2011","inward",0.0998634111416361
"United States of America","Germany","2011","inward",0.0952976663207166
"World","Germany","2011","inward",0.119378874050023
"Argentina","India","2011","inward",0
"Australia","India","2011","inward",0.0129307216041954
"Brazil","India","2011","inward",0.0202854201332871
"Canada","India","2011","inward",0.251646447831514
"China","India","2011","inward",0.241469723540631
"France","India","2011","inward",0.121249464767876
"Germany","India","2011","inward",0.16687691255574
"Indonesia","India","2011","inward",0.290149718345982
"Italy","India","2011","inward",0.206923376487755
"Japan","India","2011","inward",0.101231633960213
"Mexico","India","2011","inward",0.0118490284096821
"Republic of Korea","India","2011","inward",0.0628272297133686
"Russia","India","2011","inward",0.149718443435349
"Saudi Arabia","India","2011","inward",0.0328959842201576
"South Africa","India","2011","inward",0.495818635221994
"Turkey","India","2011","inward",0.0150126068552073
"United Kingdom","India","2011","inward",0.147917470982163
"United States of America","India","2011","inward",0.0563497231947408
"World","India","2011","inward",0.126618684348866
"Argentina","Indonesia","2011","inward",0.684628490287543
"Australia","Indonesia","2011","inward",0.185607572164189
"Brazil","Indonesia","2011","inward",0.389645608726138
"Canada","Indonesia","2011","inward",0.0762711267775691
"China","Indonesia","2011","inward",0.410599329394392
"France","Indonesia","2011","inward",0.654849718393195
"Germany","Indonesia","2011","inward",0.460541564779118
"India","Indonesia","2011","inward",0.275287013665555
"Italy","Indonesia","2011","inward",0.427935366771276
"Japan","Indonesia","2011","inward",0.461679168481693
"Mexico","Indonesia","2011","inward",0.25882423193303
"Republic of Korea","Indonesia","2011","inward",0.213466827201026
"Russia","Indonesia","2011","inward",0.0437076855529476
"Saudi Arabia","Indonesia","2011","inward",0.0820101011945061
"South Africa","Indonesia","2011","inward",0.100652411364885
"Turkey","Indonesia","2011","inward",0.0986433809323529
"United Kingdom","Indonesia","2011","inward",0.400067115940468
"United States of America","Indonesia","2011","inward",0.34000213556027
"World","Indonesia","2011","inward",0.280806661681766
"Argentina","Italy","2011","inward",0.102672846656736
"Australia","Italy","2011","inward",0.0393207689414542
"Brazil","Italy","2011","inward",0.0432810614730251
"Canada","Italy","2011","inward",0.153352707198511
"China","Italy","2011","inward",0.108794105044402
"France","Italy","2011","inward",0.140190180998723
"Germany","Italy","2011","inward",0.223846120027432
"India","Italy","2011","inward",0.0999054284110761
"Indonesia","Italy","2011","inward",0.0115214496891344
"Japan","Italy","2011","inward",0.301642313534945
"Mexico","Italy","2011","inward",0.174294989626149
"Republic of Korea","Italy","2011","inward",0.35369366468134
"Russia","Italy","2011","inward",0.00890242699095083
"Saudi Arabia","Italy","2011","inward",0.0159823734559836
"South Africa","Italy","2011","inward",0.0723731564556961
"Turkey","Italy","2011","inward",0.18156273078214
"United Kingdom","Italy","2011","inward",0.150430131619061
"United States of America","Italy","2011","inward",0.0930142023537231
"World","Italy","2011","inward",0.124941813749368
"Argentina","Japan","2011","inward",0.00754048484378966
"Australia","Japan","2011","inward",0.0138015428485706
"Brazil","Japan","2011","inward",0.00690590793089042
"Canada","Japan","2011","inward",0.11218949637464
"China","Japan","2011","inward",0.0453456039982883
"France","Japan","2011","inward",0.0250426453407977
"Germany","Japan","2011","inward",0.231781164455398
"India","Japan","2011","inward",0.0242751108560857
"Indonesia","Japan","2011","inward",0.0528151410692256
"Italy","Japan","2011","inward",0.040564631160308
